file,source,width,height,sha256
po_bithm1_t.dds,po_bithm1_s.dds,16,32,b2689a83df4bdb08a23810fe1548b2e3545e96f602c82130a9536cc2ac97d1df
po_granm1_t.dds,po_granm1_s.dds,16,32,9b54228fa4814bdbe98d086f4abf3ccbf752fd231217e9e634aa3e9987a7a9e9
po_durosf1_t.dds,po_durosf1_s.dds,16,32,9fa346b53a767fb1114453c74dedbc35d1557a74632edfc02598c27049b258fd
po_keldorm1_t.dds,po_keldorm1_s.dds,16,32,632a6fb78fea3eec1193f4d830b60568588be8bb9c2a61fa6011c355c362c29c
po_abbasilisk_l.dds,po_abbasilisk_m.dds,128,256,c0465b81039465c3fd6cd1eff279910893b6995b84ace82d35e00abfc12a23f4
po_stat_wwolf_l.dds,po_stat_wwolf_m.dds,128,256,eee2c51d9733f548fd2a358d7738dc2eeda2e1cbe21baafa1a8c1ae25e7003df
po_parrot_l.dds,po_plc_parrot_m.tga,128,256,3a3bba39a1df8842ffd72ba4b925e53eee108d0b012ec0105dc14e1da0a0f78d
po_parrot_m.dds,po_plc_parrot_m.tga,64,128,9214202f2879da241675ba2d0c800b47f6711a3646ca0a13425be40efdfe7b57
po_parrot_s.dds,po_plc_parrot_m.tga,32,64,3481967a5c8aeab6a8fedb15f777c845234cf1434022457b8f3c1fe7d3d1b4bc
po_parrot_t.dds,po_plc_parrot_m.tga,16,32,14f6b03c384f664152b50ffbce6d664a55098220fb47a514d17f2fc91b954382
